CustomerID,FirstName,LastName,Email,Phone,Address,City,State,ZipCode,Country,RegistrationDate,LoyaltyPoints,DateOfBirth
417bda41-5e5f-4069-96c1-3c40ff1648db,Jacob,Perez,herreratasha@gmail.com,865-421-3301x4792,723 Clark Curve,Reevesmouth,Montana,42878,Falkland Islands (Malvinas),2023-04-24,941,1993-12-05
f7162a30-e28e-4c5b-bdf7-9f165153ccdb,Seth,Johns,johnsonmariah@herrera.info,001-775-541-4676x67945,8922 Griffin Plain,East Brittanyland,Oklahoma,62550,Malawi,2022-04-23,8772,1962-05-20
d69af5d1-15d7-4215-b4ce-e29418b0f0df,Reginald,Whitaker,carmenmacias@gmail.com,001-832-342-9839x623,9223 Mendoza Bypass Suite 265,Davidhaven,Colorado,11029,Qatar,2023-01-27,156,1963-01-30
7f32c9e8-e5df-4324-89ed-44a207aeeb1d,Todd,Oneal,newtonvirginia@yahoo.com,+1-431-007-0888,694 Kramer Common,New Fernandoport,Indiana,57267,Sweden,2021-07-02,2443,1973-08-23
98ae48ae-de2c-4a30-9599-e6c1b22c1cc9,Michael,Lane,lutzsarah@hotmail.com,+1-239-992-5735x3130,92100 Davis Hills,South Lucasburgh,Washington,40039,Antarctica (the territory South of 60 deg S),2020-04-03,563,1966-02-07
3376256a-fa3e-4172-a169-78db05a8270b,Michelle,Evans,hkaufman@gmail.com,001-011-443-7639x57862,200 Lynn Route Apt. 797,Montesside,Michigan,22534,Guadeloupe,2021-07-08,21,1973-01-28
0ca267fc-0b5e-4a01-b4ea-e946e680a020,Matthew,Kim,omar65@singleton-tucker.info,327-826-5210x581,2408 Hannah Cliff Suite 440,Thompsonmouth,Arizona,94270,Timor-Leste,2021-06-07,4136,1944-05-02
91bb34f3-6302-4a0c-ac80-1e7299ab5699,Danielle,Clark,martinezzachary@sanchez.org,4795644652,304 Rodriguez Branch Apt. 828,South Justin,Georgia,36382,Bhutan,2021-04-29,7681,1950-05-26
32a8a822-d2a1-4af2-b731-0f80267434f9,Raymond,Bautista,xbaldwin@yahoo.com,462.428.7720x18419,9512 Priscilla Fall,Lake Lindafort,Nebraska,65222,Macedonia,2022-10-11,8148,1960-11-03
c1ba3b03-2b2f-4525-b60a-ab19cae60a6d,Parker,Hardy,sthompson@greene-vang.org,(156)885-6968x33835,01558 Timothy Mountains Apt. 595,South Lisaport,North Dakota,53102,Guinea-Bissau,2020-02-29,7134,1963-05-12
019274e0-ac2d-4632-b46b-36fb337ab6cf,Richard,King,zdavis@reyes-reed.org,001-735-173-7030,2361 Sabrina Squares Apt. 671,Reesestad,New Mexico,22795,Belize,2020-11-26,8523,1964-04-21
5b31014f-b8fe-4519-94fe-9aecf7242997,Jerry,Norris,qrodriguez@armstrong-chang.com,241.549.3606x128,12260 Taylor Wall,North Robertmouth,Connecticut,10665,Macedonia,2022-02-20,4785,1962-03-17
173c6269-525f-4f1f-a898-3715eb7a7fcc,Tiffany,Martin,jodivargas@gmail.com,873-864-4113,6419 Allison Islands Suite 093,New Jordanside,Massachusetts,70469,Niue,2022-07-05,8994,1971-03-28
d517f857-43c7-4ced-b653-c840291072bb,Jane,Carson,brucechristopher@bartlett.com,646-150-4569x7835,1170 Christopher Park,Port Timothy,Iowa,71306,Vanuatu,2019-09-18,1873,1964-10-13
ca86157b-c909-497a-8bbd-ab6f9755ad1e,Keith,Cobb,hmitchell@hotmail.com,974.534.2273,48418 Ryan Hollow,Thomasland,Virginia,84431,Tonga,2020-03-05,2658,1975-12-03
0a0cb379-ffa5-40b6-b5b4-92a693d51ece,John,Lara,nealrobert@david.com,001-197-571-4660x160,6605 Sullivan Trafficway Suite 297,South Rebecca,West Virginia,16949,Burkina Faso,2020-10-11,3781,1981-02-17
b90fd5ab-02e2-4291-8032-050eea0d8a86,Ashley,Tanner,nealjamie@yahoo.com,(626)072-7655x129,75527 Garner Inlet,Lonnieland,Florida,60734,Cape Verde,2024-04-25,1770,1950-09-10
65c909a3-372d-434e-99de-d2d331c2e849,Loretta,Gilmore,vramos@mason-sandoval.com,328-322-1286x631,9671 Carrillo Islands,Benjamintown,Massachusetts,32022,Rwanda,2023-09-20,7026,1965-08-30
c31905a7-09b0-4e86-a617-00eb7bd9fddc,David,Soto,johnathanfisher@gmail.com,001-336-487-4206x77441,9323 Aguilar Key Suite 869,East Alanstad,Maine,43287,British Virgin Islands,2021-11-28,5506,1949-03-05
e578a797-518c-4b2b-b4f6-6a6a8631d9ee,Kaylee,Miller,rebecca86@moore.com,908.826.9963x13998,463 Destiny Squares Apt. 583,Andersonfurt,Ohio,57569,Cocos (Keeling) Islands,2022-05-19,488,1934-08-29
8684dbf9-b3d4-42e8-8b8f-16e741e4e1a6,Alan,Martinez,johnharmon@gmail.com,2318492298,657 Hunter Center Suite 681,Lake Joshua,Nebraska,45001,United Arab Emirates,2023-03-03,2576,1976-10-27
bc07d832-c6ac-40c6-b0d1-9fdd243b16da,Jacob,Robinson,ambertaylor@ellis.com,018-190-6470,9318 Miller Walks,Lake Bethanyside,North Carolina,27171,Micronesia,2021-11-19,7522,1960-11-04
2182524b-e5e0-45e7-b88f-3f6055ecab8a,Joseph,Brown,jeremycollins@gmail.com,560.161.2496x289,3660 Alicia Gateway Suite 228,Shorttown,Alabama,04353,Nigeria,2021-12-13,8014,1962-08-01
9939cc56-d6bd-48cd-ab2e-9994026a0538,Robert,Ponce,nrogers@gmail.com,(073)831-9695x04522,6855 Theodore Park,Lake Amanda,Vermont,79806,Gibraltar,2023-04-10,6952,1958-05-07
96c61a81-5de0-4052-a66b-a351f2aaed09,Craig,Shields,monicapowell@yahoo.com,931-092-6706x78784,464 Simmons Mills,Elizabethside,West Virginia,99005,Sri Lanka,2020-10-12,8442,1996-11-14
6a07e4f0-26c6-4015-918c-821c1057ee47,Brenda,Anderson,qmercado@wilkins-harris.org,+1-005-803-2630,27796 Lynn Flat,West Jasonbury,Alaska,54754,Norway,2023-02-06,2734,1981-04-28
8da46b7f-995e-461b-ac80-b271de2808d9,Christopher,Hayes,peter69@gmail.com,001-449-575-7505x60888,984 John Route Apt. 911,Lake Shawn,Florida,58743,Solomon Islands,2020-04-18,8944,1941-12-11
285d8ce8-30ff-4f40-a7ed-c9430eead7fc,Christopher,Hernandez,asoto@gmail.com,728.743.5133x1878,128 Jeffrey Groves,Lunastad,Connecticut,55794,Panama,2024-05-27,997,1946-05-17
1eda5924-c508-4d53-b4f8-f50d7c1d1f3d,Jacob,Ward,sextonroger@hotmail.com,507-588-8029x4913,37112 Mario Haven,West Donnaburgh,New Hampshire,77397,Uganda,2020-05-16,9637,1986-02-10
5e55ad1e-f3a1-4e26-9f3f-50efb1e1c644,Kristin,Hurley,elizabethjohnson@yahoo.com,+1-545-387-3560x01518,3953 Kevin Tunnel,Perezfurt,Massachusetts,26691,Pitcairn Islands,2023-12-10,9078,1937-02-21
004dc425-8ec3-48d5-b91b-c569d4f20a90,Matthew,Mcmahon,osherman@yahoo.com,(592)846-3974x747,7539 Johnson Garden Suite 074,Port Josestad,Mississippi,96509,Zimbabwe,2019-10-25,4566,2000-07-13
7bd52607-0103-47d0-a27e-e1c145ac7d5b,Lisa,Underwood,phillipsgarrett@dixon-young.com,166.903.6554x05327,2176 Leach Ports Apt. 710,Riveraside,Montana,81670,Pitcairn Islands,2021-04-26,9070,2004-04-22
fda2ac7c-f23e-4230-b32e-3f0923c109f1,Stephanie,Yates,meyerrachel@hotmail.com,(980)568-0277,8090 Steven Lodge,Grimesfort,New York,19330,Montenegro,2024-01-18,2590,1997-11-16
39840949-32c7-4273-8cf1-2a52d424af45,Kevin,Carlson,obishop@yahoo.com,739.511.3698x94837,20224 Tabitha Terrace,Shafferland,Tennessee,50756,Mongolia,2020-11-20,5229,1981-12-08
